code,name,parent_code,level,aliases
T43.4X6,Underdosing of butyrophenone and thiothixene neuroleptics,T43.4X,6,
T43.5,"Poisoning by, adverse effect of and underdosing of other and unspecified antipsychotics and neuroleptics",T43,4,
T43.50,"Poisoning by, adverse effect of and underdosing of unspecified antipsychotics and neuroleptics",T43.5,5,
T43.501,"Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional)",T43.50,6,Poisoning by antipsychotics and neuroleptics NOS
T43.502,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm",T43.50,6,
T43.503,"Poisoning by unspecified antipsychotics and neuroleptics, assault",T43.50,6,
T43.504,"Poisoning by unspecified antipsychotics and neuroleptics, undetermined",T43.50,6,
T43.505,Adverse effect of unspecified antipsychotics and neuroleptics,T43.50,6,
T43.506,Underdosing of unspecified antipsychotics and neuroleptics,T43.50,6,
T43.59,"Poisoning by, adverse effect of and underdosing of other antipsychotics and neuroleptics",T43.5,5,
T43.591,"Poisoning by other antipsychotics and neuroleptics, accidental (unintentional)",T43.59,6,Poisoning by other antipsychotics and neuroleptics NOS
T43.592,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm",T43.59,6,
T43.593,"Poisoning by other antipsychotics and neuroleptics, assault",T43.59,6,
T43.594,"Poisoning by other antipsychotics and neuroleptics, undetermined",T43.59,6,
T43.595,Adverse effect of other antipsychotics and neuroleptics,T43.59,6,
T43.596,Underdosing of other antipsychotics and neuroleptics,T43.59,6,
T43.6,"Poisoning by, adverse effect of and underdosing of psychostimulants",T43,4,
T43.60,"Poisoning by, adverse effect of and underdosing of unspecified psychostimulant",T43.6,5,
T43.601,"Poisoning by unspecified psychostimulants, accidental (unintentional)",T43.60,6,Poisoning by psychostimulants NOS
T43.602,"Poisoning by unspecified psychostimulants, intentional self-harm",T43.60,6,
T43.603,"Poisoning by unspecified psychostimulants, assault",T43.60,6,
T43.604,"Poisoning by unspecified psychostimulants, undetermined",T43.60,6,
T43.605,Adverse effect of unspecified psychostimulants,T43.60,6,
T43.606,Underdosing of unspecified psychostimulants,T43.60,6,
T43.61,"Poisoning by, adverse effect of and underdosing of caffeine",T43.6,5,
T43.611,"Poisoning by caffeine, accidental (unintentional)",T43.61,6,Poisoning by caffeine NOS
T43.612,"Poisoning by caffeine, intentional self-harm",T43.61,6,
T43.613,"Poisoning by caffeine, assault",T43.61,6,
T43.614,"Poisoning by caffeine, undetermined",T43.61,6,
T43.615,Adverse effect of caffeine,T43.61,6,
T43.616,Underdosing of caffeine,T43.61,6,
T43.62,"Poisoning by, adverse effect of and underdosing of amphetamines",T43.6,5,
T43.621,"Poisoning by amphetamines, accidental (unintentional)",T43.62,6,Poisoning by amphetamines NOS
T43.622,"Poisoning by amphetamines, intentional self-harm",T43.62,6,
